RegionID,RegionName,StateName,3/31/2024
395162,"Torrington, CT",CT,430
395009,"Punta Gorda, FL",FL,4401
394386,"Billings, MT",MT,591
395018,"Redding, CA",CA,527
394748,"Kingston, NY",NY,492
394960,"Panama City, FL",FL,3309
394729,"Joplin, MO",MO,510
394539,"Dover, DE",DE,370
394559,"El Centro, CA",CA,172
394712,"Jackson, TN",TN,513
395246,"Yuba City, CA",CA,305
394406,"Bowling Green, KY",KY,553
395119,"St. George, UT",UT,1415
394896,"Muskegon, MI",MI,373
394299,"Abilene, TX",TX,775
394707,"Iowa City, IA",IA,414
394351,"Auburn, AL",AL,517
394860,"Midland, TX",TX,606
753869,"Bloomington, IL",IL,219
394671,"Hattiesburg, MS",MS,489
394944,"Oshkosh, WI",WI,362
394555,"Eau Claire, WI",WI,429
394651,"Greenville, NC",NC,270
394428,"Burlington, NC",NC,315
395210,"Waterloo, IA",IA,356
394480,"Coeur d'Alene, ID",ID,758
394553,"East Stroudsburg, PA",PA,927
395007,"Pueblo, CO",CO,866
394392,"Blacksburg, VA",VA,248
395215,"Wausau, WI",WI,328
394731,"Kahului, HI",HI,824
394720,"Janesville, WI",WI,353
395170,"Tupelo, MS",MS,483
394393,"Bloomington, IN",IN,460
394930,"Odessa, TX",TX,375
394710,"Jackson, MI",MI,367
395125,"State College, PA",PA,189
395079,"Sebastian, FL",FL,1962
394814,"Madera, CA",CA,456
394523,"Decatur, AL",AL,386
394453,"Chambersburg, PA",PA,232
395193,"Vineland, NJ",NJ,343
394703,"Idaho Falls, ID",ID,409
394639,"Grand Junction, CO",CO,680
394563,"Elizabethtown, KY",KY,378
394917,"Niles, MI",MI,401
394873,"Monroe, MI",MI,309
395066,"Santa Fe, NM",NM,610
394493,"Concord, NH",NH,159
394314,"Alexandria, LA",LA,382
395163,"Traverse City, MI",MI,590
394359,"Bangor, ME",ME,339
394685,"Homosassa Springs, FL",FL,1513
394662,"Hanford, CA",CA,208
394723,"Jefferson City, MO",MO,273
394598,"Florence, AL",AL,516
394537,"Dothan, AL",AL,563
394802,"London, KY",KY,346
394306,"Albany, GA",GA,360
845167,"Ottawa, IL",IL,346
395102,"Sioux City, IA",IA,316
395223,"Wichita Falls, TX",TX,696
395152,"Texarkana, TX",TX,511
395182,"Valdosta, GA",GA,440
394800,"Logan, UT",UT,453
394595,"Flagstaff, AZ",AZ,402
395036,"Rocky Mount, NC",NC,337
395000,"Pottsville, PA",PA,320
394515,"Dalton, GA",GA,305
394783,"Lebanon, PA",PA,176
394880,"Morristown, TN",TN,406
395232,"Winchester, VA",VA,295
395221,"Wheeling, WV",OH,330
394879,"Morgantown, WV",WV,245
394756,"La Crosse, WI",WI,180
394900,"Napa, CA",CA,251
395013,"Rapid City, SD",SD,352
395139,"Sumter, SC",SC,335
394577,"Eureka, CA",CA,381
395117,"Springfield, OH",OH,255
394668,"Harrisonburg, VA",VA,172
394368,"Battle Creek, MI",MI,297
395094,"Sherman, TX",TX,904
394821,"Manhattan, KS",KS,362
394442,"Carbondale, IL",IL,514
394727,"Johnstown, PA",PA,232
394728,"Jonesboro, AR",AR,581
394390,"Bismarck, ND",ND,298
394661,"Hammond, LA",LA,360
394983,"Pittsfield, MA",MA,339
394890,"Mount Vernon, WA",WA,215
394719,"Jamestown, NY",NY,241
395153,"The Villages, FL",FL,600
394307,"Albany, OR",OR,302
394633,"Glens Falls, NY",NY,293
394780,"Lawton, OK",OK,401
394474,"Cleveland, TN",TN,461
395098,"Sierra Vista, AZ",AZ,590
394325,"Ames, IA",IA,268
394824,"Mansfield, OH",OH,203
395128,"Staunton, VA",VA,242
394353,"Augusta, ME",ME,242
394321,"Altoona, PA",PA,209
394905,"New Bern, NC",NC,417
394588,"Farmington, NM",NM,148
395120,"St. Joseph, MO",MO,273
395054,"San Angelo, TX",TX,491
395218,"Wenatchee, WA",WA,269
394949,"Owensboro, KY",KY,290
753890,"Holland, MI",MI,193
394810,"Lumberton, NC",NC,177
394778,"Lawrence, KS",KS,188
394635,"Goldsboro, NC",NC,253
395213,"Watertown, NY",NY,279
395089,"Sheboygan, WI",WI,177
395217,"Weirton, WV",OH,298
394867,"Missoula, MT",MT,397
395237,"Wooster, OH",OH,137
394407,"Bozeman, MT",MT,427
394333,"Anniston, AL",AL,315
394374,"Beckley, WV",WV,274
395225,"Williamsport, PA",PA,164
394423,"Brunswick, GA",GA,567
753872,"California, MD",MD,202
395173,"Twin Falls, ID",ID,368
394495,"Cookeville, TN",TN,402
394893,"Muncie, IN",IN,308
394857,"Michigan City, IN",IN,286
395039,"Roseburg, OR",OR,385
394788,"Lewiston, ME",ME,160
394804,"Longview, WA",WA,331
394932,"Ogdensburg, NY",NY,274
394734,"Kankakee, IL",IL,256
394396,"Bluefield, WV",VA,196
395095,"Show Low, AZ",AZ,431
395023,"Richmond, KY",KY,230
395168,"Tullahoma, TN",TN,394
395222,"Whitewater, WI",WI,384
394709,"Ithaca, NY",NY,102
394637,"Grand Forks, ND",MN,257
394524,"Decatur, IL",IL,236
394762,"LaGrange, GA",GA,299
394369,"Bay City, MI",MI,232
394599,"Fond du Lac, WI",WI,195
394630,"Gettysburg, PA",PA,137
394620,"Gadsden, AL",AL,318
394733,"Kalispell, MT",MT,864
394518,"Danville, VA",VA,255
394823,"Mankato, MN",MN,138
394794,"Lima, OH",OH,243
753915,"Salem, OH",OH,258
395166,"Truckee, CA",CA,382
395080,"Sebring, FL",FL,1053
394462,"Cheyenne, WY",WY,352
394689,"Hot Springs, AR",AR,705
394302,"Adrian, MI",MI,268
395090,"Shelby, NC",NC,335
394542,"Dubuque, IA",IA,168
394852,"Meridian, MS",MS,205
753912,"Pinehurst, NC",NC,364
394953,"Paducah, KY",KY,322
395190,"Victoria, TX",TX,434
395038,"Rome, GA",GA,342
395086,"Sevierville, TN",TN,1210
394882,"Moses Lake, WA",WA,181
394340,"Ashtabula, OH",OH,217
394441,"Cape Girardeau, MO",MO,311
394311,"Albertville, AL",AL,310
394580,"Fairbanks, AK",AK,217
394410,"Brainerd, MN",MN,318
394513,"Cumberland, MD",MD,261
394928,"Ocean City, NJ",NJ,749
394505,"Corvallis, OR",OR,159
394988,"Pocatello, ID",ID,274
394501,"Corning, NY",NY,190
394911,"New Philadelphia, OH",OH,133
395140,"Sunbury, PA",PA,173
395175,"Ukiah, CA",CA,264
753887,"Hermiston, OR",OR,240
394469,"Clarksburg, WV",WV,159
394964,"Parkersburg, WV",WV,198
394373,"Beaver Dam, WI",WI,143
394980,"Pine Bluff, AR",AR,290
394641,"Grants Pass, OR",OR,364
394511,"Cullman, AL",AL,341
